آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,12,10,2,83.3,16.7,5.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2023-06-15_2023-07-14|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2025-03-20_2025-04-18
0.0,1,CPI m/m,Neutral,9,5,4,55.6,44.4,1.25,2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-08-01_2019-08-30|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2023-05-04_2023-06-02|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-12-19_2025-01-17
0.0,1,CPI m/m,Bad,7,6,1,85.7,14.3,6.0,2019-06-20_2019-07-19|2019-10-31_2019-11-29|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-09-21_2023-10-20|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.1,1,CPI m/m,Neutral,17,12,5,70.6,29.4,2.4,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17
0.1,1,CPI m/m,Good,6,5,1,83.3,16.7,5.0,2019-05-02_2019-05-31|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2025-03-20_2025-04-18
0.1,1,CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2019-10-31_2019-11-29|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-09-21_2023-10-20|2025-01-30_2025-02-28
0.2,1,CPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.3,1,CPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.0,1,Core CPI m/m,Good,11,9,2,81.8,18.2,4.5,2018-05-03_2018-06-01|2018-09-27_2018-10-26|2019-05-02_2019-05-31|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2021-01-28_2021-02-26|2023-06-15_2023-07-14|2024-06-13_2024-07-12|2024-12-19_2025-01-17|2025-03-20_2025-04-18
0.0,1,Core CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-06-14_2018-07-13|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-10-31_2019-11-29|2020-12-17_2021-01-15|2021-09-23_2021-10-22|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-08-01_2024-08-30
0.0,1,Core CPI m/m,Bad,6,3,3,50.0,50.0,1.0,2019-06-20_2019-07-19|2019-08-01_2019-08-30|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.1,1,Core CPI m/m,Neutral,21,17,4,81.0,19.0,4.25,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-12-17_2021-01-15|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17
0.1,1,Core CPI m/m,Good,5,4,1,80.0,20.0,4.0,2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2021-01-28_2021-02-26|2025-03-20_2025-04-18
0.1,1,Core CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2023-05-04_2023-06-02|2025-01-30_2025-02-28
0.2,1,Core CPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.3,1,Core CPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.0,1,PPI m/m,Good,15,12,3,80.0,20.0,4.0,2018-05-03_2018-06-01|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-12-12_2020-01-10|2020-04-30_2020-05-29|2020-06-11_2020-07-10|2020-12-17_2021-01-15|2021-09-23_2021-10-22|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-03-20_2025-04-18
0.0,1,PPI m/m,Bad,11,8,3,72.7,27.3,2.67,2018-06-14_2018-07-13|2018-11-09_2018-12-08|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-11-06_2020-12-05|2021-01-28_2021-02-26|2022-01-27_2022-02-25|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2025-01-30_2025-02-28
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2018-09-27_2018-10-26|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30
0.1,1,PPI m/m,Neutral,15,11,4,73.3,26.7,2.75,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-12-20_2019-01-18|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2020-03-16_2020-04-14|2020-11-06_2020-12-05|2021-09-23_2021-10-22|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-09-19_2024-10-18
0.1,1,PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-11-09_2018-12-08|2019-10-31_2019-11-29|2021-01-28_2021-02-26|2022-01-27_2022-02-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2025-01-30_2025-02-28
0.1,1,PPI m/m,Good,8,7,1,87.5,12.5,7.0,2019-01-31_2019-03-01|2019-12-12_2020-01-10|2020-04-30_2020-05-29|2020-06-11_2020-07-10|2020-12-17_2021-01-15|2024-06-13_2024-07-12|2024-12-19_2025-01-17|2025-03-20_2025-04-18
0.2,1,PPI m/m,Neutral,25,20,5,80.0,20.0,4.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2019-12-12_2020-01-10|2020-03-16_2020-04-14|2020-06-11_2020-07-10|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-09-23_2021-10-22|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28
0.2,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2018-11-09_2018-12-08|2021-01-28_2021-02-26|2022-01-27_2022-02-25
0.2,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2020-04-30_2020-05-29|2025-03-20_2025-04-18
0.3,1,PPI m/m,Neutral,25,20,5,80.0,20.0,4.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2019-12-12_2020-01-10|2020-03-16_2020-04-14|2020-06-11_2020-07-10|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-09-23_2021-10-22|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28
0.3,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2018-11-09_2018-12-08|2021-01-28_2021-02-26|2022-01-27_2022-02-25
0.3,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2020-04-30_2020-05-29|2025-03-20_2025-04-18
0.0,1,Core PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2018-05-03_2018-06-01|2018-09-27_2018-10-26|2020-12-17_2021-01-15|2023-05-04_2023-06-02|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.0,1,Core PPI m/m,Bad,11,9,2,81.8,18.2,4.5,2018-06-14_2018-07-13|2018-11-09_2018-12-08|2019-01-31_2019-03-01|2019-06-20_2019-07-19|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2021-01-28_2021-02-26|2022-01-27_2022-02-25|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31
0.0,1,Core PPI m/m,Good,13,10,3,76.9,23.1,3.33,2018-12-20_2019-01-18|2019-05-02_2019-05-31|2019-08-01_2019-08-30|2019-12-12_2020-01-10|2020-04-30_2020-05-29|2020-06-11_2020-07-10|2020-11-06_2020-12-05|2021-09-23_2021-10-22|2023-06-15_2023-07-14|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-12-19_2025-01-17|2025-03-20_2025-04-18
0.1,1,Core PPI m/m,Neutral,16,12,4,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-10-31_2019-11-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-06-13_2024-07-12|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.1,1,Core PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2018-11-09_2018-12-08|2020-03-16_2020-04-14|2021-01-28_2021-02-26|2022-01-27_2022-02-25|2024-05-02_2024-05-31
0.1,1,Core PPI m/m,Good,9,7,2,77.8,22.2,3.5,2018-12-20_2019-01-18|2019-08-01_2019-08-30|2019-12-12_2020-01-10|2020-04-30_2020-05-29|2020-06-11_2020-07-10|2021-09-23_2021-10-22|2024-08-01_2024-08-30|2024-12-19_2025-01-17|2025-03-20_2025-04-18
0.2,1,Core PPI m/m,Neutral,21,16,5,76.2,23.8,3.2,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-06-11_2020-07-10|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28
0.2,1,Core PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2018-11-09_2018-12-08|2021-01-28_2021-02-26|2022-01-27_2022-02-25|2024-05-02_2024-05-31
0.2,1,Core PPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-12-20_2019-01-18|2019-08-01_2019-08-30|2019-12-12_2020-01-10|2021-09-23_2021-10-22|2025-03-20_2025-04-18
0.3,1,Core PPI m/m,Neutral,24,18,6,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-06-11_2020-07-10|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-09-23_2021-10-22|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28
0.3,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2018-12-20_2019-01-18|2019-08-01_2019-08-30|2019-12-12_2020-01-10|2025-03-20_2025-04-18
0.3,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-01-28_2021-02-26|2022-01-27_2022-02-25
0.0,1,CPI y/y,Neutral,9,8,1,88.9,11.1,8.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-06-20_2019-07-19|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2024-05-02_2024-05-31|2024-12-19_2025-01-17
0.0,1,CPI y/y,Good,12,8,4,66.7,33.3,2.0,2018-09-27_2018-10-26|2019-05-02_2019-05-31|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2025-03-20_2025-04-18|2025-12-11_2026-01-09
0.0,1,CPI y/y,Bad,8,6,2,75.0,25.0,3.0,2019-01-31_2019-03-01|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-09-21_2023-10-20|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.1,1,CPI y/y,Neutral,11,8,3,72.7,27.3,2.67,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-06-20_2019-07-19|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2023-05-04_2023-06-02|2023-07-27_2023-08-25|2024-05-02_2024-05-31|2024-12-19_2025-01-17
0.1,1,CPI y/y,Good,10,8,2,80.0,20.0,4.0,2018-09-27_2018-10-26|2019-05-02_2019-05-31|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2023-06-15_2023-07-14|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2025-03-20_2025-04-18|2025-12-11_2026-01-09
0.1,1,CPI y/y,Bad,8,6,2,75.0,25.0,3.0,2019-01-31_2019-03-01|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-09-21_2023-10-20|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.2,1,CPI y/y,Neutral,27,20,7,74.1,25.9,2.86,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.2,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2022-01-27_2022-02-25
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-11_2026-01-09
0.3,1,CPI y/y,Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.3,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-11_2026-01-09
0.0,2,CPI m/m|Core CPI m/m,Good|Good,9,7,2,77.8,22.2,3.5,2018-05-03_2018-06-01|2018-09-27_2018-10-26|2019-05-02_2019-05-31|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2023-06-15_2023-07-14|2024-06-13_2024-07-12|2025-03-20_2025-04-18
0.0,2,CPI m/m|Core CPI m/m,Good|Neutral,3,3,0,100.0,0.0,inf,2018-06-14_2018-07-13|2019-01-31_2019-03-01|2024-05-02_2024-05-31
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,5,3,2,60.0,40.0,1.5,2018-11-09_2018-12-08|2018-12-20_2019-01-18|2020-12-17_2021-01-15|2023-07-27_2023-08-25|2024-08-01_2024-08-30
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,4,3,1,75.0,25.0,3.0,2019-06-20_2019-07-19|2022-01-27_2022-02-25|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,2,0,2,0.0,100.0,0.0,2019-08-01_2019-08-30|2023-05-04_2023-06-02
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,3,3,0,100.0,0.0,inf,2019-10-31_2019-11-29|2021-09-23_2021-10-22|2023-09-21_2023-10-20
0.0,2,CPI m/m|Core CPI m/m,Neutral|Good,2,2,0,100.0,0.0,inf,2021-01-28_2021-02-26|2024-12-19_2025-01-17
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,14,10,4,71.4,28.6,2.5,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2020-12-17_2021-01-15|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17
0.1,2,CPI m/m|Core CPI m/m,Good|Neutral,3,3,0,100.0,0.0,inf,2019-05-02_2019-05-31|2024-05-02_2024-05-31|2024-06-13_2024-07-12
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,4,4,0,100.0,0.0,inf,2019-10-31_2019-11-29|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-09-21_2023-10-20
0.1,2,CPI m/m|Core CPI m/m,Good|Good,3,2,1,66.7,33.3,2.0,2020-03-16_2020-04-14|2020-04-30_2020-05-29|2025-03-20_2025-04-18
0.1,2,CPI m/m|Core CPI m/m,Neutral|Good,2,2,0,100.0,0.0,inf,2020-11-06_2020-12-05|2021-01-28_2021-02-26
0.1,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2023-05-04_2023-06-02
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2025-01-30_2025-02-28
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,28,21,7,75.0,25.0,3.0,2018-05-03_2018-06-01|2018-06-14_2018-07-13|2018-09-27_2018-10-26|2018-11-09_2018-12-08|2018-12-20_2019-01-18|2019-01-31_2019-03-01|2019-05-02_2019-05-31|2019-06-20_2019-07-19|2019-08-01_2019-08-30|2019-10-31_2019-11-29|2020-03-16_2020-04-14|2020-04-30_2020-05-29|2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-01-28_2021-02-26|2021-09-23_2021-10-22|2022-01-27_2022-02-25|2023-05-04_2023-06-02|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-05-02_2024-05-31|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-03-20_2025-04-18
0.0,2,CPI m/m|PPI m/m,Good|Good,6,4,2,66.7,33.3,2.0,2018-05-03_2018-06-01|2019-01-31_2019-03-01|2020-04-30_2020-05-29|2023-06-15_2023-07-14|2024-06-13_2024-07-12|2025-03-20_2025-04-18
0.0,2,CPI m/m|PPI m/m,Good|Bad,4,4,0,100.0,0.0,inf,2018-06-14_2018-07-13|2020-03-16_2020-04-14|2020-11-06_2020-12-05|2024-05-02_2024-05-31
0.0,2,CPI m/m|PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2018-09-27_2018-10-26|2019-05-02_2019-05-31
0.0,2,CPI m/m|PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2018-11-09_2018-12-08|2021-01-28_2021-02-26|2023-07-27_2023-08-25
0.0,2,CPI m/m|PPI m/m,Neutral|Good,5,4,1,80.0,20.0,4.0,2018-12-20_2019-01-18|2020-12-17_2021-01-15|2023-05-04_2023-06-02|2024-08-01_2024-08-30|2024-12-19_2025-01-17
0.0,2,CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2019-06-20_2019-07-19
0.0,2,CPI m/m|PPI m/m,Neutral|Neutral,1,0,1,0.0,100.0,0.0,2019-08-01_2019-08-30
0.0,2,CPI m/m|PPI m/m,Bad|Bad,4,3,1,75.0,25.0,3.0,2019-10-31_2019-11-29|2022-01-27_2022-02-25|2023-09-21_2023-10-20|2025-01-30_2025-02-28
0.0,2,CPI m/m|PPI m/m,Bad|Good,2,2,0,100.0,0.0,inf,2021-09-23_2021-10-22|2024-09-19_2024-10-18
