آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,15,9,6,60.0,40.0,1.5,2018-08-04_2018-08-13|2019-10-08_2019-10-17|2020-07-04_2020-07-13|2020-11-11_2020-11-20|2020-12-11_2020-12-20|2022-06-14_2022-06-23|2022-08-03_2022-08-12|2022-11-11_2022-11-20|2023-03-11_2023-03-20|2023-07-09_2023-07-18|2024-06-13_2024-06-22|2025-01-09_2025-01-18|2025-03-10_2025-03-19|2025-07-08_2025-07-17|2025-09-06_2025-09-15
0.0,1,Core PPI m/m,Neutral,8,3,5,37.5,62.5,0.6,2018-10-03_2018-10-12|2020-06-04_2020-06-13|2021-01-10_2021-01-19|2022-10-12_2022-10-21|2024-10-11_2024-10-20|2024-11-10_2024-11-19|2024-12-10_2024-12-19|2025-02-08_2025-02-17
0.1,1,Core PPI m/m,Neutral,18,8,10,44.4,55.6,0.8,2018-04-06_2018-04-15|2018-07-05_2018-07-14|2018-08-04_2018-08-13|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2019-04-11_2019-04-20|2020-06-04_2020-06-13|2020-11-11_2020-11-20|2020-12-11_2020-12-20|2021-01-10_2021-01-19|2022-06-14_2022-06-23|2022-10-12_2022-10-21|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-10-11_2024-10-20|2024-11-10_2024-11-19|2024-12-10_2024-12-19|2025-02-08_2025-02-17
0.1,1,Core PPI m/m,Bad,9,5,4,55.6,44.4,1.25,2018-11-02_2018-11-11|2020-04-05_2020-04-14|2020-08-03_2020-08-12|2021-03-31_2021-04-09|2021-12-06_2021-12-15|2023-02-09_2023-02-18|2024-02-14_2024-02-23|2024-07-03_2024-07-12|2025-08-07_2025-08-16
0.1,1,Core PPI m/m,Good,10,7,3,70.0,30.0,2.33,2019-10-08_2019-10-17|2020-07-04_2020-07-13|2022-08-03_2022-08-12|2022-11-11_2022-11-20|2023-03-11_2023-03-20|2024-06-13_2024-06-22|2025-01-09_2025-01-18|2025-03-10_2025-03-19|2025-07-08_2025-07-17|2025-09-06_2025-09-15
0.2,1,Core PPI m/m,Neutral,24,13,11,54.2,45.8,1.18,2018-04-06_2018-04-15|2018-07-05_2018-07-14|2018-08-04_2018-08-13|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2019-04-11_2019-04-20|2020-04-05_2020-04-14|2020-06-04_2020-06-13|2020-11-11_2020-11-20|2020-12-11_2020-12-20|2021-01-10_2021-01-19|2022-06-14_2022-06-23|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-07-03_2024-07-12|2024-10-11_2024-10-20|2024-11-10_2024-11-19|2024-12-10_2024-12-19|2025-01-09_2025-01-18|2025-02-08_2025-02-17|2025-07-08_2025-07-17
0.2,1,Core PPI m/m,Bad,6,3,3,50.0,50.0,1.0,2018-11-02_2018-11-11|2020-08-03_2020-08-12|2021-03-31_2021-04-09|2021-12-06_2021-12-15|2024-02-14_2024-02-23|2025-08-07_2025-08-16
0.2,1,Core PPI m/m,Good,7,4,3,57.1,42.9,1.33,2019-10-08_2019-10-17|2020-07-04_2020-07-13|2022-11-11_2022-11-20|2023-03-11_2023-03-20|2024-06-13_2024-06-22|2025-03-10_2025-03-19|2025-09-06_2025-09-15
0.3,1,Core PPI m/m,Neutral,28,15,13,53.6,46.4,1.15,2018-04-06_2018-04-15|2018-07-05_2018-07-14|2018-08-04_2018-08-13|2018-10-03_2018-10-12|2018-11-02_2018-11-11|2019-02-10_2019-02-19|2019-04-11_2019-04-20|2020-04-05_2020-04-14|2020-06-04_2020-06-13|2020-11-11_2020-11-20|2020-12-11_2020-12-20|2021-01-10_2021-01-19|2021-12-06_2021-12-15|2022-06-14_2022-06-23|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2022-11-11_2022-11-20|2023-02-09_2023-02-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2024-06-13_2024-06-22|2024-07-03_2024-07-12|2024-10-11_2024-10-20|2024-11-10_2024-11-19|2024-12-10_2024-12-19|2025-01-09_2025-01-18|2025-02-08_2025-02-17|2025-07-08_2025-07-17
0.3,1,Core PPI m/m,Good,5,3,2,60.0,40.0,1.5,2019-10-08_2019-10-17|2020-07-04_2020-07-13|2023-03-11_2023-03-20|2025-03-10_2025-03-19|2025-09-06_2025-09-15
